date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:34:45	329/329	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2007%20Mar%202019%2014:34:45%20GMT	http://localhost/gst	C:/My%20Web%20Sites/freelancework1/localhost/gst.0.delayed	(from )
14:34:48	47448/47448	---MC-	200	added ('OK')	text/html	date:Thu,%2007%20Mar%202019%2014:34:45%20GMT	http://localhost/gst/	C:/My%20Web%20Sites/freelancework1/localhost/gst/index.html	(from )
14:34:48	1054/1054	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2007%20Mar%202019%2014:34:45%20GMT	http://localhost/robots.txt		(from )
14:34:48	25242/25242	---M--	200	added ('OK')	text/css	etag:%22629a-5836fa62b0900%22	http://localhost/gst/wp-includes/css/dist/block-library/style.min.css?ver=5.1	C:/My%20Web%20Sites/freelancework1/localhost/gst/wp-includes/css/dist/block-library/style.minc721.css	(from http://localhost/gst/)
14:34:49	2060/2060	---M--	200	added ('OK')	text/css	etag:%2280c-58346e797fc00%22	http://localhost/gst/wp-content/plugins/portfolio-wp/css/crp-main-front.css?ver=5.1	C:/My%20Web%20Sites/freelancework1/localhost/gst/wp-content/plugins/portfolio-wp/css/crp-main-frontc721.css	(from http://localhost/gst/)
14:34:49	233/233	---M--	200	added ('OK')	text/css	etag:%22e9-58346e797fc00%22	http://localhost/gst/wp-content/plugins/portfolio-wp/css/crp-tc-buttons.css?ver=5.1	C:/My%20Web%20Sites/freelancework1/localhost/gst/wp-content/plugins/portfolio-wp/css/crp-tc-buttonsc721.css	(from http://localhost/gst/)
14:34:50	1694/1694	---M--	200	added ('OK')	application/rss+xml	etag:%22fa2cefbb42d434a50ddea4f20195c95b%22	http://localhost/gst/comments/feed/	C:/My%20Web%20Sites/freelancework1/localhost/gst/comments/feed/index.html	(from http://localhost/gst/)
14:34:50	382/382	---M--	200	added ('OK')	text/css	etag:%2217e-58346e797fc00%22	http://localhost/gst/wp-content/plugins/portfolio-wp/css/crp-tiled-layer.css?ver=5.1	C:/My%20Web%20Sites/freelancework1/localhost/gst/wp-content/plugins/portfolio-wp/css/crp-tiled-layerc721.css	(from http://localhost/gst/)
14:34:50	9648/9648	---MC-	200	added ('OK')	application/rss+xml	etag:%22e20e6c87cff5100e92ed0c8e1aa00f65%22	http://localhost/gst/feed/	C:/My%20Web%20Sites/freelancework1/localhost/gst/feed/index.html	(from http://localhost/gst/)
14:34:50	28747/28747	---M--	200	added ('OK')	text/css	etag:%22704b-58346e797fc00%22	http://localhost/gst/wp-content/plugins/portfolio-wp/css/fontawesome/font-awesome.css?ver=5.1	C:/My%20Web%20Sites/freelancework1/localhost/gst/wp-content/plugins/portfolio-wp/css/fontawesome/font-awesomec721.css	(from http://localhost/gst/)
14:34:50	13035/13035	---M--	200	added ('OK')	text/css	etag:%2232eb-5737a96c12d00%22	http://localhost/gst/wp-content/themes/GST_THEME_BASIC/style.css?ver=5.1	C:/My%20Web%20Sites/freelancework1/localhost/gst/wp-content/themes/GST_THEME_BASIC/stylec721.css	(from http://localhost/gst/)
14:34:51	39886/39886	---M--	200	added ('OK')	text/css	etag:%229bce-5720ecbcef580%22	http://localhost/gst/wp-content/themes/Storefront/style.css?ver=2.3.3	C:/My%20Web%20Sites/freelancework1/localhost/gst/wp-content/themes/Storefront/styleb6db.css	(from http://localhost/gst/)
14:34:52	77436/77436	---M--	200	added ('OK')	text/css	etag:%2212e7c-5720ecbcef580%22	http://localhost/gst/wp-content/themes/Storefront/assets/css/base/icons.css?ver=2.3.3	C:/My%20Web%20Sites/freelancework1/localhost/gst/wp-content/themes/Storefront/assets/css/base/iconsb6db.css	(from http://localhost/gst/)
14:34:54	13035/13035	---M--	200	added ('OK')	text/css	etag:%2232eb-5737a96c12d00%22	http://localhost/gst/wp-content/themes/GST_THEME_BASIC/style.css	C:/My%20Web%20Sites/freelancework1/localhost/gst/wp-content/themes/GST_THEME_BASIC/style.css	(from http://localhost/gst/)
14:34:55	13035/13035	---M--	200	added ('OK')	text/css	etag:%2232eb-5737a96c12d00%22	http://localhost/gst/wp-content/themes/GST_THEME_BASIC/style.css?ver=1.0.0	C:/My%20Web%20Sites/freelancework1/localhost/gst/wp-content/themes/GST_THEME_BASIC/style8a54.css	(from http://localhost/gst/)
14:34:56	30/30	---M--	200	added ('OK')	application/javascript	etag:%221e-58346e7b68080%22	http://localhost/gst/wp-content/plugins/portfolio-wp/js/crp-main-front.js?ver=5.1	C:/My%20Web%20Sites/freelancework1/localhost/gst/wp-content/plugins/portfolio-wp/js/crp-main-frontc721.js	(from http://localhost/gst/)
